# height, velocity
2.273869346733668522e+02 1.102077529857406368e+01
2.286432160804020270e+02 1.103941137663512251e+01
2.298994974874372019e+02 1.105797659356606566e+01
2.311557788944723768e+02 1.107647160382843232e+01
2.324120603015075517e+02 1.109489705232183532e+01
2.336683417085427266e+02 1.111325357457447893e+01
2.349246231155779014e+02 1.113154179692892320e+01
2.361809045226130763e+02 1.114976233672315153e+01
2.374371859296482512e+02 1.116791580246716542e+01
2.386934673366834261e+02 1.118600279401516673e+01
2.399497487437186010e+02 1.120402390273352111e+01
2.412060301507538043e+02 1.122197971166458608e+01
2.424623115577889791e+02 1.123987079568655112e+01
2.437185929648241540e+02 1.125769772166938942e+01
2.449748743718593289e+02 1.127546104862704901e+01
2.462311557788945038e+02 1.129316132786598637e+01
2.474874371859296787e+02 1.131079910313014381e+01
2.487437185929648535e+02 1.132837491074249314e+01
2.500000000000000000e+02 1.134588927974321138e+01
